,records-count-all,records-count-wo-outliers,entities-count,entities-with-later-severe-debt,sociodemographic-age-mean,sociodemographic-age-stddev,sociodemographic-age-skewness,sociodemographic-m-w-ratio,sociodemographic-unknown-gender-ratio,amount-mean,amount-stddev,amount-count-unknown,amount-count-too-high,payment-days-diff-mean,payment-days-diff-stddev,payment-delayed-days-mean,payment-delayed-days-stddev,payment-delayed-days-count,payment-prepaid-days-mean,payment-prepaid-days-stddev,payment-prepaid-days-count,payment-on-time-count
Mariger,34400,34400,27336,371,39.901137454760324,11.81948755337196,0.414665816316384,0.36200448765893795,0.0007682177348551361,76.54151162790697,57.63731095387823,0,0,-8.403488372093022,15.419426343463387,13.786110037366319,12.936669616965238,7761,-15.53414127152214,8.121181191917874,25497,1142
Mawaensi,150,150,150,2,41.18571428571428,13.689195799339458,-0.059483824047940656,1.5423728813559323,,51.24,48.36854074016843,0,0,0.0,0.0,,,0,,,0,150
Mentdis,640234,640145,27410,930,48.02600111752654,15.635673081831843,-0.19020600308720653,1.1362671905697446,0.008245165997811018,237.30282623199346,311.5770180079356,0,174,0.5164673628631014,11.270333339910264,9.312810009236138,12.999028225958757,233864,-5.691635317207233,5.8659679951624915,324567,81714
Mergeru,497901,497407,236094,8003,37.690960394416855,13.28683058983469,0.8798908298989843,0.5060516993531163,0.005993375519920032,114.69241718738691,117.66722448751509,0,2,3.082178176020844,20.3164753544919,18.91902123199526,18.316769506917122,226121,-10.895840362653372,9.622671625204779,251921,19365
Meruingo,284,284,236,48,34.044843049327355,10.104288387088285,0.5982453011784311,0.39759036144578314,0.01694915254237288,164.02464788732394,181.263939021706,0,0,28.661971830985916,23.601261402176252,30.724528301886792,23.09446479186699,265,-2.0,0.0,1,18
Merwaalo,2209,2209,1186,8,47.16022099447514,13.466626149138625,0.3831858802143406,0.8540031397174255,0.0042158516020236085,114.41828881846989,86.29018047976433,0,0,-1.5853327297419646,16.61319547290449,19.82803738317757,21.752051334750718,535,-8.807740324594258,4.141895205412448,1602,72
Monveno,206918,206878,148861,1346,41.55695455998863,15.231217144540883,0.5618037270944946,0.8460171453601152,0.009102451280053204,172.43960549216786,247.1986284166722,0,24,1.8289813319927686,15.934766961289574,14.431027069187925,11.775083461036775,100003,-11.015279889926859,8.38817296919137,96663,10212
Mothnevy,3474,3474,2258,1,51.236363636363635,17.676860721255846,1.2579362357946926,1.0,0.9769707705934455,1925.1492949110975,2331.5682177154135,0,212,-4.284974093264249,29.732078803430852,28.21005917159763,36.60649883287437,1014,-18.754204398447605,8.133372297898887,2319,141
Muexnau,18181,18180,13974,10,49.82283666154634,13.70165752011405,-0.23188167809548443,0.3615504784221832,0.00207528266781165,118.21303630363036,72.99098905700713,0,0,-3.7325632563256326,7.224003970355388,4.304689693906206,11.176237625892037,3561,-6.168854282536151,3.6339408430888054,13485,1134
Naestern,43,43,42,0,50.73809523809524,13.069520200705304,-0.02003935552971756,0.6153846153846154,,165.37209302325581,141.91432450697292,0,0,2.5348837209302326,16.093258500767508,9.380952380952381,20.749013035566616,21,-4.4,2.615339366124404,20,2
Ningber,41095,41095,22654,111,53.05418233082707,13.906107220729483,0.29153970025368425,2.0501618122977345,0.0015008387039816369,266.7374269005848,262.45845739879906,0,5,0.06295169728677455,46.10540201008684,65.077731918239,50.05572515192179,10176,-26.521550337729174,7.140455645665548,24872,6047
Ningui,4922236,4922236,845107,26584,39.57197635547065,12.954612173809723,0.5845004276375699,0.17359355036433835,0.007664118271414153,5487.20473992863,2518.333425629388,0,1679106,-30.0,0.0,,,0,-30.0,0.0,4922236,0
Nitvermu,7,7,1,1,41.0,0.0,0.0,,,76.85714285714286,16.48747205286115,0,0,12.571428571428571,9.57462633149488,12.571428571428571,9.57462633149488,7,,,0,0
Numimo,1344521,1342099,947010,12071,41.663475175412856,15.354406804619206,0.694489556718327,0.5779725641691736,0.005796137316395814,158.45886745562748,259.0281691323783,0,0,29.982386545254858,29.908830935464007,30.096319087688386,29.905699131793426,1337087,-19.676190476190477,21.04394279465403,105,4907
Numtleal,3379,3379,506,88,45.78547854785479,11.946395137621778,0.7354083342001151,3.857142857142857,0.2608695652173913,1619.7891839378237,2254.1936789923175,0,291,3.15211601065404,22.897404981551414,24.481629392971247,23.147336418853264,1252,-14.255167498218103,8.393505025392468,1403,724
Nyparsi,93582,93470,57331,380,34.89803084306737,11.728927203986986,0.5028619191244076,0.6252348152786474,0.004011791177547923,178.4352091580186,142.83662565163502,0,0,0.05910987482614743,15.78182614127039,8.149921203651393,23.887433936758352,33631,-5.051252633162805,3.066494425850475,53168,6671
Nyurever,1566,1566,1466,132,39.81856540084388,13.677755866254595,-0.4519333916762468,2.1016949152542375,0.001364256480218281,145.7956577266922,330.62513123070886,0,0,17.495530012771393,37.234144616972955,38.39116719242902,33.42733044088659,951,-17.72762645914397,6.916099149103761,514,101
Otheso,6501804,6501804,847770,57794,43.372366133633335,13.983528773190637,0.1696543248927023,0.25870253751932204,0.00010969956474043667,78.33626630615092,72.37343861636312,0,5,0.0,0.0,,,0,,,0,6501804
Othfole,754400,754400,113632,307,56.98850686150944,13.144098179115241,0.15128514976166235,0.3628401513786268,0.0017248662348634187,294.6274872307424,457.2720213787208,0,65,0.0,0.0,,,0,,,0,754400
Paiafei,436046,433177,172162,2130,38.751972578720505,12.970554203620292,0.7518547338554409,0.24604192786541096,0.007086348903939313,95.81529365319395,75.16411104260374,0,0,-7.382499532523656,24.177501233135757,21.1598659405111,31.96612663699079,107415,-17.292898641429755,8.775443366313041,316362,9400
Parfae,8136744,8135856,1333513,9005,40.78191477644951,15.237718747483154,1.495100096936259,0.6280528402757913,0.009811677876406154,33.184057138034504,41.01378917272622,0,0,-7.513751472494105,13.519356069879946,13.006601577468032,17.06478622118435,902966,-10.302856568464675,10.499821675353935,7073312,159578
Partymuu,6317,6317,538,23,51.478350515463916,11.117833976577774,-0.4067023751264823,23.095238095238095,0.05947955390334572,671.3040637450199,1225.4402269292104,0,40,-8.155611841063797,29.580412384340505,28.845978322875073,28.59741225240568,1753,-23.829598506069093,12.05536565249156,4284,280
Peersuap,1146,1146,635,5,46.018181818181816,14.158185437266777,0.4250673114042515,0.9702970297029703,0.6866141732283465,230.1065502183406,293.86510139408637,0,1,-9.017452006980802,23.5477245700239,25.93305439330544,28.364994696694108,239,-18.786363636363635,8.596764478810167,880,27
