"liability_owner","legal_entity_id","info_type","credit_status","valid_from","valid_to"
7062725,7062725,"CC","4",2011-03-03,2031-03-03
14630692,14630692,"CC","1",2008-03-13,2011-03-13
12947635,12947635,"CC","4",2003-10-14,2006-10-14
12130205,12130205,"CC","3",2007-02-07,2012-02-07
10317261,10317261,"CC","1",2003-06-10,2006-06-10
6257900,6257900,"CC","1",2005-12-02,2008-12-02
18651157,18651157,"CC","1",2010-11-12,2013-11-12
7062725,7062725,"CC","4",2012-04-30,2017-04-30
15455396,15455396,"CC","1",2008-01-13,2011-01-13
13602342,13602342,"CC","2",2004-03-03,2007-03-03
12947635,12947635,"CC","1",2002-01-12,2005-01-12
13980567,13980567,"CC","4",2009-01-26,2029-01-26
5372185,5372185,"CC","4",2008-12-12,2028-12-12
3186275,6170215,"CC","1",2001-08-23,2004-08-23
14250193,14250193,"CC","2",2003-10-17,2006-10-17
13602342,13602342,"CC","2",2000-09-06,2003-09-06
9985123,9985123,"CC","3",2009-04-30,2014-04-30
516787,516787,"CC","1",2010-03-24,2013-03-24
6924887,6924887,"CC","1",2010-08-31,2013-08-31
9978239,9978239,"CC","2",2008-08-19,2011-08-19
5343499,5343499,"CC","1",2008-07-15,2011-07-15
19104656,19104656,"CC","4",2006-12-08,2026-12-08
3417454,3417454,"CC","4",2006-10-19,2026-10-19
7062725,7062725,"CC","1",2009-02-19,2012-02-19
14234805,14234805,"CC","1",2011-06-09,2014-06-09
2184701,2184701,"CC","4",2012-12-19,2015-12-19
7062725,7062725,"CC","1",2014-05-08,2017-05-08
12947635,12947635,"CC","4",2006-11-25,2026-11-25
19104656,19104656,"CC","1",2009-07-21,2012-07-21
7309430,7309430,"CC","2",2008-08-25,2013-08-25
7309430,7309430,"CC","2",2007-07-23,2012-07-23
9978239,9978239,"CC","1",2010-02-19,2010-02-19
9978239,9978239,"CC","1",2010-07-21,2013-07-21
13992527,13992527,"CC","4",1995-01-04,2005-01-04
12947635,12947635,"CC","4",2008-08-14,2018-08-14
19126115,19126115,"CC","3",1997-11-25,2002-11-25
11573797,11573797,"CC","4",2012-04-17,2032-04-17
1256774,1256774,"CC","1",2012-04-25,2015-04-25
2184701,2184701,"CC","1",2010-10-07,2013-10-07
2184701,2184701,"CC","1",2010-11-04,2013-11-04
6257900,6257900,"CC","1",1997-07-08,2000-07-08
14234805,14234805,"CC","2",2004-11-22,2009-11-22
7062725,7062725,"CC","1",2013-09-03,2016-09-03
11573797,11573797,"CC","1",2005-11-22,2008-11-22
18726677,18726677,"CC","1",2005-07-19,2008-07-19
624927,624927,"CC","1",2007-07-11,2010-07-11
16250422,16250422,"CC","1",1996-01-08,1999-01-08
5399673,5399673,"CC","1",2006-04-27,2009-04-27
9985123,9985123,"CC","1",2006-07-02,2009-07-02
18484612,18484612,"CC","1",2003-03-24,2006-03-24
13912036,13912036,"CC","1",2005-09-08,2008-09-08
11573797,11573797,"CC","4",2016-10-31,2036-10-31
14234805,14234805,"CC","1",2011-07-05,2014-07-05
17726481,17726481,"CC","1",2000-07-25,2003-07-25
16250422,16250422,"CC","2",2009-12-22,2014-12-22
3417057,3417057,"CC","1",2012-02-29,2015-02-28
3417057,3417057,"CC","1",2012-10-09,2015-10-09
7999803,7999803,"CC","0",2001-10-22,2006-10-22
5101874,5101874,"CC","3",2014-07-04,2019-07-04
8898498,8898498,"CC","1",2009-04-02,2014-04-02
3498610,3498610,"CC","3",2001-09-26,2006-09-26
9696030,9696030,"CC","3",2003-03-20,2008-03-20
9978239,9978239,"CC","3",2006-02-24,2011-02-24
8543410,8543410,"CC","4",2008-05-30,2011-05-30
11124878,11124878,"CC","1",2003-10-30,2006-10-30
9594981,9594981,"CC","4",2006-05-25,2016-05-25
11610526,11610526,"CC","1",2000-12-01,2003-12-01
12947635,12947635,"CC","4",2008-07-24,2011-07-24
13980567,13980567,"CC","1",2010-04-27,2013-04-27
13574543,13574543,"CC","1",2012-01-20,2015-01-20
11573797,11573797,"CC","1",2013-11-26,2016-11-26
7062725,7062725,"CC","1",1998-11-10,2001-11-10
7506988,7506988,"CC","2",1998-05-12,2003-05-12
15250065,15250065,"CC","2",1998-04-23,2003-04-23
15250065,15250065,"CC","2",1998-04-23,2003-04-23
5338227,5338227,"CC","2",1999-09-15,2004-09-15
19294997,19294997,"CC","1",2012-04-11,2015-04-11
16612644,16612644,"CC","1",2009-06-30,2012-06-30
12130205,12130205,"CC","1",2010-11-30,2013-11-30
7062725,7062725,"CC","1",2014-11-04,2017-11-04
5399673,5399673,"CC","1",2004-05-05,2007-05-05
1730024,1730024,"CC","3",2007-04-30,2012-04-30
19104656,19104656,"CC","4",2003-01-14,2008-01-14
13602342,13602342,"CC","1",2002-11-07,2005-11-07
16250422,16250422,"CC","1",2009-12-14,2012-12-14
624927,624927,"CC","1",2010-10-29,2013-10-29
18726677,18726677,"CC","1",2008-09-05,2011-09-05
3498610,3498610,"CC","1",2011-02-22,2014-02-22
5453542,5453542,"CC","4",2015-08-14,2035-08-14
